2017-05-10 13:48:27,631 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 13:48:27,680 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1807e3f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@480d3575, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f1da57d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194fad1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@26abb146, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72c8e7b]
2017-05-10 13:48:27,876 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 13:48:28,165 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 13:48:28,618 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 13:48:28,645 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 13:48:28 CST 2017]; root of context hierarchy
2017-05-10 13:48:29,109 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 13:48:29,110 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 13:48:30,066 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 13:48:30,069 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 13:48:30,169 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 13:48:30,169 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 13:48:30,169 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 13:48:30,973 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 13:48:43,456 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 13:48:28 CST 2017]; root of context hierarchy
2017-05-10 13:48:43,488 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 14:29:23,770 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 14:29:23,902 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1807e3f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@480d3575, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f1da57d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194fad1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@26abb146, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72c8e7b]
2017-05-10 14:29:24,445 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 14:29:24,809 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 14:29:25,762 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 14:29:25,798 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 14:29:25 CST 2017]; root of context hierarchy
2017-05-10 14:29:26,366 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 14:29:26,380 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 14:29:28,551 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 14:29:28,555 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 14:29:28,707 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 14:29:28,707 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 14:29:28,707 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 14:29:30,139 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
